strategy,scenario,Group,Generation,cat,gvNormUnres1,gvNormUnres3
ClassGen,0_100,home,11,pb,3.0062906225500003,1.9233526519125004
ClassGen,0_100,home,12,pb,2.1752716030375003,0.5662946134375
ClassGen,0_100,home,13,pb,2.0365377899875,1.917642928275
ClassGen,0_100,home,14,pb,2.8662031917000004,2.12923974665
ClassGen,0_100,home,15,pb,2.8779338290375,2.5118461510625
ClassGen,0_100,home,16,pb,3.4634760518,2.6644275281125003
ClassGen,0_100,home,17,pb,2.1495250656625,1.8108561251125002
ClassGen,0_100,home,18,pb,2.7628653365374998,1.4354911684000002
ClassGen,0_100,home,19,pb,3.2143581975749997,1.5185338214375
ClassGen,0_100,home,20,pb,2.69573851055,1.8583365174125
ClassGen,0_100,home,21,pb,3.2779939767624997,2.7185283721625
ClassGen,0_100,home,22,pb,3.9402035607875003,2.399185079875
ClassGen,0_100,home,23,pb,3.3010021975250003,2.475311938725
ClassGen,0_100,home,24,pb,4.0732575715,2.533314103225
ClassGen,0_100,home,25,pb,4.2511847871625,3.5738134337875005
ClassGen,0_100,home,26,pb,4.840055834899999,4.20265696635
ClassGen,0_100,home,27,pb,4.6888719440375,3.7132999478000004
ClassGen,0_100,home,28,pb,4.5755409204,3.4395766452750003
ClassGen,0_100,home,29,pb,4.0332929588125,2.6633730607000006
ClassGen,0_100,home,30,pb,4.8503346421125,3.3513591889375
ClassGen,0_100,home,31,pb,5.5122895574125,4.9311434015125
ClassGen,0_100,home,32,pb,5.730862029375,4.7214794948375
ClassGen,0_100,home,33,pb,6.01351682395,6.0112851214375
ClassGen,0_100,home,34,pb,5.675507431,4.900252352487501
ClassGen,0_100,home,35,gpb,6.042828466129999,5.448969067568571
ClassGen,0_100,home,36,gpb,6.22095121736,5.2438627352500005
ClassGen,0_100,home,37,gpb,5.291549080366666,5.926997486379167
ClassGen,0_100,home,38,gpb,5.68355357415,5.744324261808334
ClassGen,0_100,home,39,gpb,6.382708950816667,6.399385577708333
ClassGen,0_100,home,40,gpb,6.479600354891667,6.113420819541667
ClassGen,0_100,home,41,gpb,7.940644568000001,6.911001732116667
ClassGen,0_100,home,42,gpb,8.328913624616666,8.112297937516665
ClassGen,0_100,home,43,gpb,8.986891767608334,8.858740056099998
ClassGen,0_100,home,44,gpb,8.059695164991666,7.531908080625
ClassGen,0_100,home,45,gpb,8.468157372775,8.534092655408333
ClassGen,0_100,home,46,gpb,8.521795516583333,8.376294629558334
ClassGen,0_100,home,47,gpb,9.523772636258332,9.401497590633333
ClassGen,0_100,home,48,gpb,9.073949153058333,9.112098655541667
ClassGen,0_100,import,11,pb,3.593284414275,4.4466632294299995
ClassGen,0_100,import,12,pb,3.7603221540650003,4.167324276455
ClassGen,0_100,import,13,pb,3.5046252392449997,4.42141673465
ClassGen,0_100,import,14,pb,3.5751312569049998,4.24079325624
ClassGen,0_100,import,15,pb,3.567188247355,4.3314988362
ClassGen,0_100,import,16,pb,4.0680493943150005,4.380207530394999
ClassGen,0_100,import,17,pb,3.9990849052950006,4.249398423515
ClassGen,0_100,import,18,pb,3.72079400209,4.489704611065001
ClassGen,0_100,import,19,pb,4.24026416775,4.5006719432099995
ClassGen,0_100,import,20,pb,3.1231596025000004,3.47467646884
ClassGen,0_100,import,21,pb,4.7457543356650005,5.80168432122
ClassGen,0_100,import,22,pb,5.257744221645,6.16911077162
ClassGen,0_100,import,23,pb,5.4117395167,6.001737412400001
ClassGen,0_100,import,24,pb,5.2274410774449995,5.97477890076
ClassGen,0_100,import,25,gpb,4.672097133704934,5.539231376031909
ClassGen,0_100,import,26,gpb,4.349846995388095,5.312068047603175
ClassGen,0_100,import,27,gpb,4.489908868953151,5.483297673225421
ClassGen,0_100,import,28,gpb,4.60454074433,5.919968911553333
ClassGen,0_100,import,29,gpb,5.2576238993199995,5.939634278610001
ClassGen,0_100,import,30,gpb,4.594622794513333,5.3624480450966665
ClassGen,0_100,import,31,gpb,5.164858262173333,6.1109279405566665
ClassGen,0_100,import,32,gpb,5.662551504333334,6.922258593516666
ClassGen,0_100,import,33,gpb,5.49284236304,6.519616965846666
ClassGen,0_100,import,34,gpb,5.501130670496666,6.613587532116666
ClassGen,0_100,import,35,gpb,5.993013588313332,7.1777538943433346
ClassGen,0_100,import,36,gpb,6.382776462993333,7.882004042186666
ClassGen,0_100,import,37,gpb,6.3714308757466664,7.645022429400001
ClassGen,0_100,import,38,gpb,6.014924479649999,7.582206049593333
ClassGen,0_100,import,39,gpb,6.453410711596668,7.631029140633332
ClassGen,0_100,import,40,gpb,6.223719223416667,7.836500099269999
ClassGen,0_100,import,41,gpb,6.422143982610001,7.899735576046667
ClassGen,0_100,import,42,gpb,6.290462901573333,7.619656994366666
ClassGen,0_100,import,43,gpb,7.034926554076667,8.440630679396666
ClassGen,0_100,import,44,gpb,7.07842005279,8.576051098879999
ClassGen,0_100,import,45,gpb,7.37980011004,8.929483934516666
ClassGen,0_100,import,46,gpb,7.17481274969,9.006709391176667
ClassGen,0_100,import,47,gpb,7.434338018463333,9.251160695340001
ClassGen,0_100,import,48,gpb,7.973254781013333,9.52842846888
ClassGen,100_100,home,11,pb,3.0062906225500003,1.9233526519125004
ClassGen,100_100,home,12,pb,2.1752716030375003,0.5662946134375
ClassGen,100_100,home,13,pb,2.0365377899875,1.917642928275
ClassGen,100_100,home,14,pb,2.8662031917000004,2.12923974665
ClassGen,100_100,home,15,pb,2.8779338290375,2.5118461510625
ClassGen,100_100,home,16,pb,3.4634760518,2.6644275281125003
ClassGen,100_100,home,17,pb,2.1495250656625,1.8108561251125002
ClassGen,100_100,home,18,pb,2.7628653365374998,1.4354911684000002
ClassGen,100_100,home,19,pb,3.2143581975749997,1.5185338214375
ClassGen,100_100,home,20,pb,2.69573851055,1.8583365174125
ClassGen,100_100,home,21,pb,3.2779939767624997,2.7185283721625
ClassGen,100_100,home,22,pb,3.9402035607875003,2.399185079875
ClassGen,100_100,home,23,pb,3.3010021975250003,2.475311938725
ClassGen,100_100,home,24,pb,4.0732575715,2.533314103225
ClassGen,100_100,home,25,pb,4.2511847871625,3.5738134337875005
ClassGen,100_100,home,26,pb,4.840055834899999,4.20265696635
ClassGen,100_100,home,27,pb,4.6888719440375,3.7132999478000004
ClassGen,100_100,home,28,pb,4.5755409204,3.4395766452750003
ClassGen,100_100,home,29,pb,4.1133767009125,2.6305596334625
ClassGen,100_100,home,30,pb,4.7635043942875,3.6846731134625
ClassGen,100_100,home,31,pb,5.598485402050001,4.5756538443375
ClassGen,100_100,home,32,pb,5.0635173628125,4.519134861
ClassGen,100_100,home,33,pb,5.355575731837501,5.25716854685
ClassGen,100_100,home,34,pb,6.0396858819625,5.7612306193875
ClassGen,100_100,home,35,gpb,7.269332995166666,7.003499711233333
ClassGen,100_100,home,36,gpb,5.687519090458928,5.5823888190383935
ClassGen,100_100,home,37,gpb,5.920077580076786,5.534663967272322
ClassGen,100_100,home,38,gpb,6.975715553583333,6.626746833483333
ClassGen,100_100,home,39,gpb,6.9406100494750005,6.832818842875
ClassGen,100_100,home,40,gpb,6.984580394258333,6.806772003049999
ClassGen,100_100,home,41,gpb,7.829582913341666,7.967844585541666
ClassGen,100_100,home,42,gpb,8.254187632333334,8.093691391475
ClassGen,100_100,home,43,gpb,8.575712211158333,8.684931994708334
ClassGen,100_100,home,44,gpb,9.286781642308332,9.661208630466668
ClassGen,100_100,home,45,gpb,8.701333499941667,9.2838738797
ClassGen,100_100,home,46,gpb,8.877366590408332,9.256695968666666
ClassGen,100_100,home,47,gpb,8.820035424491666,9.423600148391667
ClassGen,100_100,home,48,gpb,9.5640902722,10.380137556825
ClassGen,100_100,import,11,pb,3.593284414275,4.4466632294299995
ClassGen,100_100,import,12,pb,3.7603221540650003,4.167324276455
ClassGen,100_100,import,13,pb,3.5046252392449997,4.42141673465
ClassGen,100_100,import,14,pb,3.5751312569049998,4.24079325624
ClassGen,100_100,import,15,pb,3.567188247355,4.3314988362
ClassGen,100_100,import,16,pb,4.0680493943150005,4.380207530394999
ClassGen,100_100,import,17,pb,3.9990849052950006,4.249398423515
ClassGen,100_100,import,18,pb,3.72079400209,4.489704611065001
ClassGen,100_100,import,19,pb,4.24026416775,4.5006719432099995
ClassGen,100_100,import,20,pb,3.1231596025000004,3.47467646884
ClassGen,100_100,import,21,pb,4.7457543356650005,5.80168432122
ClassGen,100_100,import,22,pb,5.257744221645,6.16911077162
ClassGen,100_100,import,23,pb,5.4117395167,6.001737412400001
ClassGen,100_100,import,24,pb,5.2274410774449995,5.97477890076
ClassGen,100_100,import,25,gpb,4.672097133704934,5.539231376031909
ClassGen,100_100,import,26,gpb,4.349846995388095,5.312068047603175
ClassGen,100_100,import,27,gpb,4.489908868953151,5.483297673225421
ClassGen,100_100,import,28,gpb,4.60454074433,5.919968911553333
ClassGen,100_100,import,29,gpb,5.2576238993199995,5.939634278610001
ClassGen,100_100,import,30,gpb,4.706704046546667,5.455114469716666
ClassGen,100_100,import,31,gpb,5.807210998396667,6.73240546515
ClassGen,100_100,import,32,gpb,5.771720961066666,6.7487980365533335
ClassGen,100_100,import,33,gpb,5.76973200627,6.583587602246666
ClassGen,100_100,import,34,gpb,5.865778018593333,6.765215434470001
ClassGen,100_100,import,35,gpb,5.5650192466699995,7.025131343803333
ClassGen,100_100,import,36,gpb,5.509930313816667,6.880885047253333
ClassGen,100_100,import,37,gpb,6.206563192046667,7.409922899276667
ClassGen,100_100,import,38,gpb,6.02645163525,7.563558422003334
ClassGen,100_100,import,39,gpb,5.958778648576667,7.397533345356668
ClassGen,100_100,import,40,gpb,6.2997450045866685,7.7620431721033345
ClassGen,100_100,import,41,gpb,6.408169902186668,7.977995140976667
ClassGen,100_100,import,42,gpb,6.554939705343333,8.36561562314
ClassGen,100_100,import,43,gpb,6.903434465309999,8.499326855423334
ClassGen,100_100,import,44,gpb,7.100139292136666,8.799767237173333
ClassGen,100_100,import,45,gpb,7.233032288386667,8.929120725766667
ClassGen,100_100,import,46,gpb,7.461456770840001,9.529079758406667
ClassGen,100_100,import,47,gpb,7.437279222859999,9.173563575123332
ClassGen,100_100,import,48,gpb,7.734814238146667,9.706649384833334
ClassGen,10_10,home,11,pb,3.0062906225500003,1.9233526519125004
ClassGen,10_10,home,12,pb,2.1752716030375003,0.5662946134375
ClassGen,10_10,home,13,pb,2.0365377899875,1.917642928275
ClassGen,10_10,home,14,pb,2.8662031917000004,2.12923974665
ClassGen,10_10,home,15,pb,2.8779338290375,2.5118461510625
ClassGen,10_10,home,16,pb,3.4634760518,2.6644275281125003
ClassGen,10_10,home,17,pb,2.1495250656625,1.8108561251125002
ClassGen,10_10,home,18,pb,2.7628653365374998,1.4354911684000002
ClassGen,10_10,home,19,pb,3.2143581975749997,1.5185338214375
ClassGen,10_10,home,20,pb,2.69573851055,1.8583365174125
ClassGen,10_10,home,21,pb,3.2779939767624997,2.7185283721625
ClassGen,10_10,home,22,pb,3.9402035607875003,2.399185079875
ClassGen,10_10,home,23,pb,3.3010021975250003,2.475311938725
ClassGen,10_10,home,24,pb,4.0732575715,2.533314103225
ClassGen,10_10,home,25,pb,4.2511847871625,3.5738134337875005
ClassGen,10_10,home,26,pb,4.840055834899999,4.20265696635
ClassGen,10_10,home,27,pb,4.6888719440375,3.7132999478000004
ClassGen,10_10,home,28,pb,4.5755409204,3.4395766452750003
ClassGen,10_10,home,29,pb,3.8460866214500005,2.882725256825
ClassGen,10_10,home,30,pb,4.045985969775,2.807545412325
ClassGen,10_10,home,31,pb,5.2477748284375,4.183618837625
ClassGen,10_10,home,32,pb,4.679419254512499,3.7126464700749997
ClassGen,10_10,home,33,pb,5.72022621955,4.4480943740875
ClassGen,10_10,home,34,pb,4.84728924865,4.122909075512499
ClassGen,10_10,home,35,gpb,5.416415740466666,4.010454152395834
ClassGen,10_10,home,36,gpb,5.279209256531251,3.672600056754167
ClassGen,10_10,home,37,gpb,5.2612165909035715,4.081730148065179
ClassGen,10_10,home,38,gpb,5.124408554875,4.148842919625
ClassGen,10_10,home,39,gpb,5.405209087025,4.571336629508334
ClassGen,10_10,home,40,gpb,6.4369620959,4.733809252416667
ClassGen,10_10,home,41,gpb,7.308474761558333,5.927690972933334
ClassGen,10_10,home,42,gpb,6.9943548793,5.920949150008333
ClassGen,10_10,home,43,gpb,8.470629572966667,6.749354459499999
ClassGen,10_10,home,44,gpb,8.518919856391665,7.000753126775001
ClassGen,10_10,home,45,gpb,9.488305540275,7.506208027941668
ClassGen,10_10,home,46,gpb,9.226990437583334,7.256251124233334
ClassGen,10_10,home,47,gpb,8.625701438225,6.937780062958334
ClassGen,10_10,home,48,gpb,10.126559459050002,8.767504953258333
ClassGen,10_10,import,11,pb,3.593284414275,4.4466632294299995
ClassGen,10_10,import,12,pb,3.7603221540650003,4.167324276455
ClassGen,10_10,import,13,pb,3.5046252392449997,4.42141673465
ClassGen,10_10,import,14,pb,3.5751312569049998,4.24079325624
ClassGen,10_10,import,15,pb,3.567188247355,4.3314988362
ClassGen,10_10,import,16,pb,4.0680493943150005,4.380207530394999
ClassGen,10_10,import,17,pb,3.9990849052950006,4.249398423515
ClassGen,10_10,import,18,pb,3.72079400209,4.489704611065001
ClassGen,10_10,import,19,pb,4.24026416775,4.5006719432099995
ClassGen,10_10,import,20,pb,3.1231596025000004,3.47467646884
ClassGen,10_10,import,21,pb,4.7457543356650005,5.80168432122
ClassGen,10_10,import,22,pb,5.257744221645,6.16911077162
ClassGen,10_10,import,23,pb,5.4117395167,6.001737412400001
ClassGen,10_10,import,24,pb,5.2274410774449995,5.97477890076
ClassGen,10_10,import,25,gpb,4.672097133704934,5.539231376031909
ClassGen,10_10,import,26,gpb,4.349846995388095,5.312068047603175
ClassGen,10_10,import,27,gpb,4.489908868953151,5.483297673225421
ClassGen,10_10,import,28,gpb,4.60454074433,5.919968911553333
ClassGen,10_10,import,29,gpb,5.2576238993199995,5.939634278610001
ClassGen,10_10,import,30,gpb,4.961963748466667,5.796783778333333
ClassGen,10_10,import,31,gpb,5.501889045526665,6.48883296136
ClassGen,10_10,import,32,gpb,5.45663920102,6.4913615308266674
ClassGen,10_10,import,33,gpb,5.71896183318,6.748573479646667
ClassGen,10_10,import,34,gpb,5.25382848117,6.626918580766667
ClassGen,10_10,import,35,gpb,5.992193113236667,7.137055234869997
ClassGen,10_10,import,36,gpb,6.245593310793333,7.631756680476668
ClassGen,10_10,import,37,gpb,6.49438609359,7.857489778176667
ClassGen,10_10,import,38,gpb,5.860581734816668,7.151866963513333
ClassGen,10_10,import,39,gpb,6.53147730982,7.798425988676666
ClassGen,10_10,import,40,gpb,6.248312572983333,7.719693308876668
ClassGen,10_10,import,41,gpb,6.927155172880001,8.337262060383335
ClassGen,10_10,import,42,gpb,6.66598409096,8.46082930376
ClassGen,10_10,import,43,gpb,6.887467094650001,8.397950370516666
ClassGen,10_10,import,44,gpb,6.9343199296266675,8.950670529006668
ClassGen,10_10,import,45,gpb,7.206172469923334,9.00814937253
ClassGen,10_10,import,46,gpb,7.480211260056667,8.99864786654
ClassGen,10_10,import,47,gpb,7.567117452443334,9.791472682686665
ClassGen,10_10,import,48,gpb,7.700486530076667,9.446877763873333
ClassGen,50_50,home,11,pb,3.0062906225500003,1.9233526519125004
ClassGen,50_50,home,12,pb,2.1752716030375003,0.5662946134375
ClassGen,50_50,home,13,pb,2.0365377899875,1.917642928275
ClassGen,50_50,home,14,pb,2.8662031917000004,2.12923974665
ClassGen,50_50,home,15,pb,2.8779338290375,2.5118461510625
ClassGen,50_50,home,16,pb,3.4634760518,2.6644275281125003
ClassGen,50_50,home,17,pb,2.1495250656625,1.8108561251125002
ClassGen,50_50,home,18,pb,2.7628653365374998,1.4354911684000002
ClassGen,50_50,home,19,pb,3.2143581975749997,1.5185338214375
ClassGen,50_50,home,20,pb,2.69573851055,1.8583365174125
ClassGen,50_50,home,21,pb,3.2779939767624997,2.7185283721625
ClassGen,50_50,home,22,pb,3.9402035607875003,2.399185079875
ClassGen,50_50,home,23,pb,3.3010021975250003,2.475311938725
ClassGen,50_50,home,24,pb,4.0732575715,2.533314103225
ClassGen,50_50,home,25,pb,4.2511847871625,3.5738134337875005
ClassGen,50_50,home,26,pb,4.840055834899999,4.20265696635
ClassGen,50_50,home,27,pb,4.6888719440375,3.7132999478000004
ClassGen,50_50,home,28,pb,4.5755409204,3.4395766452750003
ClassGen,50_50,home,29,pb,3.8384194107125005,2.9362093758875
ClassGen,50_50,home,30,pb,4.419781052349999,2.9840429323499995
ClassGen,50_50,home,31,pb,4.0843515825375,2.2879625662250005
ClassGen,50_50,home,32,pb,5.032139009800001,3.851223455325
ClassGen,50_50,home,33,pb,4.9992123174,4.3315537032750004
ClassGen,50_50,home,34,pb,4.7986770738625,4.1749206847875
ClassGen,50_50,home,35,gpb,5.51987387061,5.0102747265800005
ClassGen,50_50,home,36,gpb,5.94956262030625,4.9500723852299995
ClassGen,50_50,home,37,gpb,5.39251881434125,5.51761591226375
ClassGen,50_50,home,38,gpb,6.263339069658334,5.827704877566666
ClassGen,50_50,home,39,gpb,6.085322505666667,5.38865436815
ClassGen,50_50,home,40,gpb,6.7544892441833335,6.388877910824999
ClassGen,50_50,home,41,gpb,8.7121718391,8.557948151808334
ClassGen,50_50,home,42,gpb,7.852528253041667,7.916697935350001
ClassGen,50_50,home,43,gpb,8.88727722445,8.624694021249999
ClassGen,50_50,home,44,gpb,8.393496362150001,8.115817469941668
ClassGen,50_50,home,45,gpb,9.038372787258332,9.308658447708334
ClassGen,50_50,home,46,gpb,9.661427060183332,9.492430319983333
ClassGen,50_50,home,47,gpb,9.960010100075,10.205773586591668
ClassGen,50_50,home,48,gpb,10.163456367783333,9.664997274333333
ClassGen,50_50,import,11,pb,3.593284414275,4.4466632294299995
ClassGen,50_50,import,12,pb,3.7603221540650003,4.167324276455
ClassGen,50_50,import,13,pb,3.5046252392449997,4.42141673465
ClassGen,50_50,import,14,pb,3.5751312569049998,4.24079325624
ClassGen,50_50,import,15,pb,3.567188247355,4.3314988362
ClassGen,50_50,import,16,pb,4.0680493943150005,4.380207530394999
ClassGen,50_50,import,17,pb,3.9990849052950006,4.249398423515
ClassGen,50_50,import,18,pb,3.72079400209,4.489704611065001
ClassGen,50_50,import,19,pb,4.24026416775,4.5006719432099995
ClassGen,50_50,import,20,pb,3.1231596025000004,3.47467646884
ClassGen,50_50,import,21,pb,4.7457543356650005,5.80168432122
ClassGen,50_50,import,22,pb,5.257744221645,6.16911077162
ClassGen,50_50,import,23,pb,5.4117395167,6.001737412400001
ClassGen,50_50,import,24,pb,5.2274410774449995,5.97477890076
ClassGen,50_50,import,25,gpb,4.672097133704934,5.539231376031909
ClassGen,50_50,import,26,gpb,4.349846995388095,5.312068047603175
ClassGen,50_50,import,27,gpb,4.489908868953151,5.483297673225421
ClassGen,50_50,import,28,gpb,4.60454074433,5.919968911553333
ClassGen,50_50,import,29,gpb,5.2576238993199995,5.939634278610001
ClassGen,50_50,import,30,gpb,4.47380197149,5.4370376856233325
ClassGen,50_50,import,31,gpb,5.183519048673333,6.462326287193333
ClassGen,50_50,import,32,gpb,5.249452134883333,6.355547513836667
ClassGen,50_50,import,33,gpb,5.750774836710001,6.770174596473333
ClassGen,50_50,import,34,gpb,5.53897554215,6.833061609726667
ClassGen,50_50,import,35,gpb,5.608167591263333,6.99345999075
ClassGen,50_50,import,36,gpb,5.16623825098,6.725372005623333
ClassGen,50_50,import,37,gpb,6.530508734703334,7.914858588216666
ClassGen,50_50,import,38,gpb,6.0959659431999995,7.432388078526666
ClassGen,50_50,import,39,gpb,6.324677162113333,7.919339266346667
ClassGen,50_50,import,40,gpb,6.253227304296668,8.038360339176668
ClassGen,50_50,import,41,gpb,6.43078995593,8.182575138803333
ClassGen,50_50,import,42,gpb,6.304977898593333,7.971353602946667
ClassGen,50_50,import,43,gpb,7.158856421029999,8.81657221248
ClassGen,50_50,import,44,gpb,6.844572466779999,8.89194055175
