P_G,ReduceControls,1,2,3,4,5,6,7,8,9,10,Reference,Population,YearsToUpdate
1:1,1,356,712,1068,1424,1780,2136,2492,2848,3204,3559,yes,Total,28.1
1:1,2,801,1603,2404,3206,4007,4809,5610,6412,7213,8014,yes,Total,12.5
1:1,3,1346,2693,4039,5386,6732,8079,9425,10772,12118,13465,yes,Total,7.4
1:1,6,3693,7385,11078,14770,18463,22155,25848,29540,33233,36926,yes,Total,2.7
1:1,9,7390,14780,22170,29560,36950,44341,51731,59121,66511,73901,yes,Total,1.4
1:1,10,8998,17996,26994,35992,44990,53988,62985,71983,80981,89979,yes,Total,1.1
2:1,1,712,1424,2136,2848,3559,4271,4983,5695,6407,7119,yes,Total,14.0
2:1,2,1603,3206,4809,6412,8014,9617,11220,12823,14426,16029,yes,Total,6.2
2:1,3,2693,5386,8079,10772,13465,16157,18850,21543,24236,26929,yes,Total,3.7
2:1,6,7385,14770,22155,29540,36926,44311,51696,59081,66466,73851,yes,Total,1.4
2:1,9,14780,29560,44341,59121,73901,88681,103461,118242,133022,147802,yes,Total,0.7
2:1,10,17996,35992,53988,71983,89979,107975,125971,143967,161963,179958,yes,Total,0.6
1:2,1,178,356,534,712,890,1068,1246,1424,1602,1780,yes,Total,56.2
1:2,2,401,801,1202,1603,2004,2404,2805,3206,3606,4007,yes,Total,25.0
1:2,3,673,1346,2020,2693,3366,4039,4713,5386,6059,6732,yes,Total,14.9
1:2,6,1846,3693,5539,7385,9231,11078,12924,14770,16617,18463,yes,Total,5.4
1:2,9,3695,7390,11085,14780,18475,22170,25865,29560,33255,36950,yes,Total,2.7
1:2,10,4499,8998,13497,17996,22495,26994,31493,35992,40491,44990,yes,Total,2.2
1:1,1,356,712,1068,1424,1780,2136,2492,2848,3204,3559,no,Total,
1:1,2,801,1603,2404,3206,4007,4809,5610,6412,7213,8014,no,Total,
1:1,3,1346,2693,4039,5386,6732,8079,9425,10772,12118,13465,no,Total,
1:1,6,3693,7385,11078,14770,18463,22155,25848,29540,33233,36926,no,Total,
1:1,9,7390,14780,22170,29560,36950,44341,51731,59121,66511,73901,no,Total,
1:1,10,8998,17996,26994,35992,44990,53988,62985,71983,80981,89979,no,Total,
2:1,1,712,1424,2136,2848,3559,4271,4983,5695,6407,7119,no,Total,
2:1,2,1603,3206,4809,6412,8014,9617,11220,12823,14426,16029,no,Total,
2:1,3,2693,5386,8079,10772,13465,16157,18850,21543,24236,26929,no,Total,
2:1,6,7385,14770,22155,29540,36926,44311,51696,59081,66466,73851,no,Total,
2:1,9,14780,29560,44341,59121,73901,88681,103461,118242,133022,147802,no,Total,
2:1,10,17996,35992,53988,71983,89979,107975,125971,143967,161963,179958,no,Total,
1:2,1,178,356,534,712,890,1068,1246,1424,1602,1780,no,Total,
1:2,2,401,801,1202,1603,2004,2404,2805,3206,3606,4007,no,Total,
1:2,3,673,1346,2020,2693,3366,4039,4713,5386,6059,6732,no,Total,
1:2,6,1846,3693,5539,7385,9231,11078,12924,14770,16617,18463,no,Total,
1:2,9,3695,7390,11085,14780,18475,22170,25865,29560,33255,36950,no,Total,
1:2,10,4499,8998,13497,17996,22495,26994,31493,35992,40491,44990,no,Total,
1:1,1,44,89,133,178,222,267,311,356,400,445,yes,Male,
1:1,2,100,200,301,401,501,601,701,801,902,1002,yes,Male,
1:1,3,168,337,505,673,842,1010,1178,1346,1515,1683,yes,Male,
1:1,6,462,923,1385,1846,2308,2769,3231,3693,4154,4616,yes,Male,
1:1,9,924,1848,2771,3695,4619,5543,6466,7390,8314,9238,yes,Male,
1:1,10,1125,2249,3374,4499,5624,6748,7873,8998,10123,11247,yes,Male,
2:1,1,89,178,267,356,445,534,623,712,801,890,yes,Male,
2:1,2,200,401,601,801,1002,1202,1403,1603,1803,2004,yes,Male,
2:1,3,337,673,1010,1346,1683,2020,2356,2693,3030,3366,yes,Male,
2:1,6,923,1846,2769,3693,4616,5539,6462,7385,8308,9231,yes,Male,
2:1,9,1848,3695,5543,7390,9238,11085,12933,14780,16628,18475,yes,Male,
2:1,10,2249,4499,6748,8998,11247,13497,15746,17996,20245,22495,yes,Male,
1:2,1,22,44,67,89,111,133,156,178,200,222,yes,Male,
1:2,2,50,100,150,200,250,301,351,401,451,501,yes,Male,
1:2,3,84,168,252,337,421,505,589,673,757,842,yes,Male,
1:2,6,231,462,692,923,1154,1385,1615,1846,2077,2308,yes,Male,
1:2,9,462,924,1386,1848,2309,2771,3233,3695,4157,4619,yes,Male,
1:2,10,562,1125,1687,2249,2812,3374,3937,4499,5061,5624,yes,Male,
1:1,1,0,0,0,0,0,0,0,0,0,0,no,Male,
1:1,2,0,0,0,0,0,0,100,200,301,401,no,Male,
1:1,3,168,337,505,673,842,1010,1178,1346,1515,1683,no,Male,
1:1,6,462,923,1385,1846,2308,2769,3231,3693,4154,4616,no,Male,
1:1,9,924,1848,2771,3695,4619,5543,6466,7390,8314,9238,no,Male,
1:1,10,1125,2249,3374,4499,5624,6748,7873,8998,10123,11247,no,Male,
2:1,1,0,0,0,0,0,0,0,89,178,267,no,Male,
2:1,2,0,0,0,200,401,601,801,1002,1202,1403,no,Male,
2:1,3,0,337,673,1010,1346,1683,2020,2356,2693,3030,no,Male,
2:1,6,923,1846,2769,3693,4616,5539,6462,7385,8308,9231,no,Male,
2:1,9,1848,3695,5543,7390,9238,11085,12933,14780,16628,18475,no,Male,
2:1,10,2249,4499,6748,8998,11247,13497,15746,17996,20245,22495,no,Male,
1:2,1,0,0,0,0,0,22,0,0,0,0,no,Male,
1:2,2,0,0,0,0,50,0,0,0,0,0,no,Male,
1:2,3,0,0,0,0,0,0,84,168,252,337,no,Male,
1:2,6,0,0,231,462,692,923,1154,1385,1615,1846,no,Male,
1:2,9,0,462,924,1386,1848,2309,2771,3233,3695,4157,no,Male,
1:2,10,0,562,1125,1687,2249,2812,3374,3937,4499,5061,no,Male,
1:1,1,311,623,934,1246,1557,1869,2180,2492,2803,3115,yes,Female,
1:1,2,701,1403,2104,2805,3506,4208,4909,5610,6311,7013,yes,Female,
1:1,3,1178,2356,3534,4713,5891,7069,8247,9425,10603,11781,yes,Female,
1:1,6,3231,6462,9693,12924,16155,19386,22617,25848,29079,32310,yes,Female,
1:1,9,6466,12933,19399,25865,32332,38798,45264,51731,58197,64663,yes,Female,
1:1,10,7873,15746,23620,31493,39366,47239,55112,62985,70859,78732,yes,Female,
2:1,1,623,1246,1869,2492,3115,3737,4360,4983,5606,6229,yes,Female,
2:1,2,1403,2805,4208,5610,7013,8415,9818,11220,12623,14025,yes,Female,
2:1,3,2356,4713,7069,9425,11781,14138,16494,18850,21207,23563,yes,Female,
2:1,6,6462,12924,19386,25848,32310,38772,45234,51696,58158,64620,yes,Female,
2:1,9,12933,25865,38798,51731,64663,77596,90529,103461,116394,129327,yes,Female,
2:1,10,15746,31493,47239,62985,78732,94478,110225,125971,141717,157464,yes,Female,
1:2,1,156,311,467,623,779,934,1090,1246,1402,1557,yes,Female,
1:2,2,351,701,1052,1403,1753,2104,2454,2805,3156,3506,yes,Female,
1:2,3,589,1178,1767,2356,2945,3534,4124,4713,5302,5891,yes,Female,
1:2,6,1615,3231,4846,6462,8077,9693,11308,12924,14539,16155,yes,Female,
1:2,9,3233,6466,9700,12933,16166,19399,22632,25865,29099,32332,yes,Female,
1:2,10,3937,7873,11810,15746,19683,23620,27556,31493,35429,39366,yes,Female,
1:1,1,356,712,1068,1424,1780,2136,2492,2848,3204,3559,no,Female,
1:1,2,801,1603,2404,3206,4007,4809,5510,6211,6912,7614,no,Female,
1:1,3,1178,2356,3534,4713,5891,7069,8247,9425,10603,11781,no,Female,
1:1,6,3231,6462,9693,12924,16155,19386,22617,25848,29079,32310,no,Female,
1:1,9,6466,12933,19399,25865,32332,38798,45264,51731,58197,64663,no,Female,
1:1,10,7873,15746,23620,31493,39366,47239,55112,62985,70859,78732,no,Female,
2:1,1,712,1424,2136,2848,3559,4271,4983,5606,6229,6852,no,Female,
2:1,2,1603,3206,4809,6211,7614,9016,10419,11821,13224,14626,no,Female,
2:1,3,2693,5049,7406,9762,12118,14474,16831,19187,21543,23900,no,Female,
2:1,6,6462,12924,19386,25848,32310,38772,45234,51696,58158,64620,no,Female,
2:1,9,12933,25865,38798,51731,64663,77596,90529,103461,116394,129327,no,Female,
2:1,10,15746,31493,47239,62985,78732,94478,110225,125971,141717,157464,no,Female,
1:2,1,178,356,534,712,890,1046,1246,1424,1602,1780,no,Female,
1:2,2,401,801,1202,1603,1954,2404,2805,3206,3606,4007,no,Female,
1:2,3,673,1346,2020,2693,3366,4039,4628,5218,5807,6396,no,Female,
1:2,6,1846,3693,5308,6924,8539,10155,11770,13386,15001,16617,no,Female,
1:2,9,3695,6928,10161,13395,16628,19861,23094,26327,29560,32794,no,Female,
1:2,10,4499,8436,12372,16309,20245,24182,28119,32055,35992,39928,no,Female,
